38,Comparative energy evaluation of plastic products and their alternatives for the building and construction and transportation industries,,1991,The Society of the Plastics Industry; Franklin Associates,,,,,,,,,,,,
39,Comparative environmental life cycle assessment of composite materials,O M De Vegt~ W G Haije,1997,,,,,,,,,,,ECN-I-97-050,,
40,Comparative Life Cycle Assessment of Flooring Materials: Ceramic versus Marble Tile,Giuseppe M. Nicoletti~ Bruno Notarnicola~ Giuseppe Tassielli,2000,,,10,,283-296,Journal of Cleaner Production,,,,,,,
41,Comparative Life Cycle Assessment of Three Insulation Materials: Stone Wool~ Flax and Paper Wool,Anders Schmidt~ Anders Ulf Clausen~ Allan Astrup Jensen~ Ole Kamstrup,2003,Eco-Informa Press,3-928379-60-7,,,,LCA Documents 8,,,,,,,
42,Comparing energy use and environmental emissions of reinforced wood doors and steel doors,Lynn knight~ Melissa Huff~ Janet I Stockhausen~ Robert J Ross,06/2005,,,55,6,,Forest Products Journal,,,,,,,
43,Comparison of environmental impacts of two residential heating systems,Lijun Yang~ Radu Zmeureanu~ Huges Rivard,2007,,,,,, Building and Environment, 
10.1016/j.buildenv.2007.02.007,,,,,,
44,Concrete building blocks made with recycled demolition aggregate,M N Soutsos~ S G Millard~ J H Bungey,08/2006,,,,,,Concrete Plant International,,,,,,,
45,Concrete with Ceramic Waste Aggregate,R M Senthamarai~ P Devadas Manoharan,2005,,,,,,Cement & Concrete Composites,,,,,,,
46,Confederation of paper industries web address: http://www.paper.org.uk/,Confederation of paper industries,2005,Confederation of the paper industries,,,,,,,,,,,,
47,Conservation of energy and natural resources by recycling building waste,C Thormark,2001,,,,,,Resources Conservation & Recycling,,,,,,,
48,Conversion processes for polyolefin's,I Boustead,2003,APME~ Association of Plastics Manufacturers in Europe,,,,,,,,,,,,
49,Copper Environmental Profile,,2004,Kennecott Utah Copper Corporation,,,,,,,,,,,,
50,Cradle-to-Gate Study of Red Clay for Use in the Ceramic Industry,María-Dolores Bovea~ Úrsula Saura~ Jose Luis Ferrero~ Josep Giner,2007,,,12,6, 439 - 447,International Journal of LCA, http://dx.doi.org/10.1065/lca2006.06.252,,,,,,
51,Data needed for environmental assessment of building projects,Hanne Krogh~ klaus Hansen,1994,Danish Building research institute~ SBI,,,,,,,,,,,, Proceedings of the CIB conference on buildings and the environment.
52,Defining and Improving Environmental Performance in the Concrete Industry,D Higgins~ L Parrott~ L Sear,2000,DETR & UK Concrete Alliance,,,,,,,,,,,,
53,ECFA Environmental Declaration Plasticising Admixtures,,2006,ECFA~ European Federation of Concrete Admixture Association,,,,,,,,,,,,
54,Ecohouse 2: A Design Guide,Sue Roaf~ Manuel Fuentes~ Stephanie Thomas,2003,Architectural Press,750657340,,,,,,,,,,,
