Steel (Reinforcing),0.59,http://data.nasa.gov/qudt/owl/unit#PoundMass,for reinforced concrete,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Steel (Reinforcing)
Tin,7.1,http://data.nasa.gov/qudt/owl/unit#PoundMass,replacement for lead in solder,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Tin
Titanium,20,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Titanium
Tungsten,9.6,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Tungsten
Zinc,1.1,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Zinc
Acrylonitrile-butadiene-styrene (ABS) (Virgin),1.4,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Acrylonitrile-butadiene-styrene (ABS) (Virgin)
High Impact Polystyrene (HIPS) (Virgin),1.3,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,High Impact Polystyrene (HIPS) (Virgin)
High Impact Polystyrene (HIPS) (Recycled),1.1,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,High Impact Polystyrene (HIPS) (Recycled)
Nylon 6 (Polyamide),3.7,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Nylon 6 (Polyamide)
Nylon 6 (Polyamide) (glass filled),2.9,http://data.nasa.gov/qudt/owl/unit#PoundMass,25% glass fiber,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Nylon 6 (Polyamide) (glass filled)
Nylon 66 (Polyamide),3.2,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Nylon 66 (Polyamide)
Nylon 66 (Polyamide) (glass filled) ,2.8,http://data.nasa.gov/qudt/owl/unit#PoundMass,25% glass fiber,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Nylon 66 (Polyamide) (glass filled) 
Polycarbonate (PC) Plexiglass (Virgin),2.3,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Polycarbonate (PC) Plexiglass (Virgin)
High Density Polyethylene (HDPE) Granulate (Virgin),0.8,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,High Density Polyethylene (HDPE) Granulate (Virgin)
High Density Polyethylene (HDPE) Granulate (Recycled),0.52,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,High Density Polyethylene (HDPE) Granulate (Recycled)
Low Density Polyethylene (LDPE) Granulate (Virgin),0.88,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Low Density Polyethylene (LDPE) Granulate (Virgin)
Low Density Polyethylene (LDPE) Granulate (Recycled),0.56,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Low Density Polyethylene (LDPE) Granulate (Recycled)
PE-LLD (Polyethylene Low Linear Density Granulate),,,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,PE-LLD (Polyethylene Low Linear Density Granulate)
 Amorphous Polyethylene terephthalate (PET) Granulate,,,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output, Amorphous Polyethylene terephthalate (PET) Granulate
Polyethylene terephthalate (PET) (Virgin),1.1,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Polyethylene terephthalate (PET) (Virgin)
Polyethylene terephthalate (PET) (Recycling),0.58,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Polyethylene terephthalate (PET) (Recycling)
Polymethyl methacrylate (PMMA) (Acrylic) (Virgin),2.5,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Polymethyl methacrylate (PMMA) (Acrylic) (Virgin)
