48,http://footprinted.org/rdfspace/bibliography/conversion-processes-for-polyolefin-s8634091
string(53) "Construct Template not found in ARC2_SPARQLPlusParser" 49,http://footprinted.org/rdfspace/bibliography/copper-environmental-profile5578539
50,http://footprinted.org/rdfspace/bibliography/cradle-to-gate-study-of-red-clay-for-use-in-the-ceramic-industry1088646
51,http://footprinted.org/rdfspace/bibliography/data-needed-for-environmental-assessment-of-building-projects9113545
52,http://footprinted.org/rdfspace/bibliography/defining-and-improving-environmental-performance-in-the-concrete-industry7499708
53,http://footprinted.org/rdfspace/bibliography/ecfa-environmental-declaration-plasticising-admixtures9884698
54,http://footprinted.org/rdfspace/bibliography/ecohouse-2-a-design-guide9173365
55,http://footprinted.org/rdfspace/bibliography/ecology-of-building-materials5391203
56,http://footprinted.org/rdfspace/bibliography/eco-profiles-of-the-european-plastics-industry-methodology2975439
57,http://footprinted.org/rdfspace/bibliography/eee-a-prototype-tool-for-the-evaluation-of-embodied-energy-and-greenhouse-gas-emissions-of-exterior-envelope-of-canadian-houses9124492
58,http://footprinted.org/rdfspace/bibliography/embodied-co2-of-factory-made-cements-and-combinations-fact-sheet-18-p2-7141313
59,http://footprinted.org/rdfspace/bibliography/embodied-co2-of-uk-cement-additions-and-cementitious-material-fact-sheet-18-p1-3820562
60,http://footprinted.org/rdfspace/bibliography/embodied-energy-detailed-methodology5653306
61,http://footprinted.org/rdfspace/bibliography/embodied-energy-analysis-of-new-zealand-building-materials3659264
62,http://footprinted.org/rdfspace/bibliography/embodied-energy-and-carbon-dioxide-emissions-for-building-materials9917025
63,http://footprinted.org/rdfspace/bibliography/embodied-energy-and-co2-coefficients-for-nz-building-materials8826777
64,http://footprinted.org/rdfspace/bibliography/embodied-energy-and-co2-emissions-of-wood-and-concrete-framed-buildings-in-sweden3526888
65,http://footprinted.org/rdfspace/bibliography/embodied-energy-coefficients-of-building-materials3416150
66,http://footprinted.org/rdfspace/bibliography/embodied-energy-in-buildings-wood-versus-concrete-reply-to-borjesson-and-gustavsson7794309
67,http://footprinted.org/rdfspace/bibliography/embodied-energy-of-common-and-alternative-building-materials-and-technologies9651004
68,http://footprinted.org/rdfspace/bibliography/energy-analysis4320007
69,http://footprinted.org/rdfspace/bibliography/energy-and-environmental-impact-analysis-of-double-glazed-windows5463214
70,http://footprinted.org/rdfspace/bibliography/energy-consumption-and-associated-greenhouse-gas-emissions-related-to-maintenance-of-a-residential-structure1666702
71,http://footprinted.org/rdfspace/bibliography/energy-consumption-of-asphalt-and-reinforced-concrete-pavement-materials-and-construction5047797
72,http://footprinted.org/rdfspace/bibliography/energy-performance-of-buildings7396250
73,http://footprinted.org/rdfspace/bibliography/energy-use-during-the-life-cycle-of-buildings-a-method1648128
74,http://footprinted.org/rdfspace/bibliography/environmental-assessment-of-bio-based-polymers-and-natural-fibres6456910
75,http://footprinted.org/rdfspace/bibliography/environmental-assessment-of-brick-production-in-greece6796732
76,http://footprinted.org/rdfspace/bibliography/environmental-benefits-of-recycling-an-international-review-of-life-cycle-comparisons-for-key-materials-in-the-uk-recycling-sector8877751
77,http://footprinted.org/rdfspace/bibliography/environmental-burdens-of-concrete-and-concrete-products9500524
78,http://footprinted.org/rdfspace/bibliography/environmental-declaration-of-the-velfac-200-window-system-according-to-the-lca-principle-edip-method-3275369
79,http://footprinted.org/rdfspace/bibliography/environmental-declaration-nordic-timber-industry-nd-security-window2922546
80,http://footprinted.org/rdfspace/bibliography/environmental-fact-sheet-elevator-system-schindler-3100-3300-53009998370
81,http://footprinted.org/rdfspace/bibliography/environmental-fact-sheet-elevator-system-schindler-70005848195
82,http://footprinted.org/rdfspace/bibliography/environmental-impact-of-building-and-construction-materials-volume-b-mineral-products7367782
83,http://footprinted.org/rdfspace/bibliography/environmental-impact-of-building-and-construction-materials-volume-c-metals8099812
84,http://footprinted.org/rdfspace/bibliography/environmental-impact-of-building-and-construction-materials-volume-d-plastics-and-elastomers7247574
85,http://footprinted.org/rdfspace/bibliography/environmental-impact-of-building-and-construction-materials-volume-e-timber-and-timber-products8450707
86,http://footprinted.org/rdfspace/bibliography/environmental-impact-of-building-and-construction-materials-volume-f-paints-and-coatings-adhesives-and-sealants7781358
87,http://footprinted.org/rdfspace/bibliography/environmental-impact-of-coated-exterior-wooden-cladding1481180
88,http://footprinted.org/rdfspace/bibliography/environmental-impact-of-producing-hardwood-lumber-using-life-cycle-inventory7469810
89,http://footprinted.org/rdfspace/bibliography/environmental-lci-data-for-rockwool-rollbatt8820229
90,http://footprinted.org/rdfspace/bibliography/environmental-performance-evaluation-of-thermal-insulation-materials-and-its-impact-on-the-building7569286
91,http://footprinted.org/rdfspace/bibliography/environmental-product-declaration-iso-dis-21-930-glasal1453914
92,http://footprinted.org/rdfspace/bibliography/environmental-product-declaration-for-steel-roof-cladding-using-colorcoat-hps2008173701
93,http://footprinted.org/rdfspace/bibliography/environmental-product-declaration-of-raw-and-melamine-faced-wood-particleboard1958042
94,http://footprinted.org/rdfspace/bibliography/environmental-resource-guide5000209
95,http://footprinted.org/rdfspace/bibliography/environmental-economic-and-social-analysis-of-materials-for-doors-and-windows-in-sri-lanka5239204
96,http://footprinted.org/rdfspace/bibliography/environmental-health-and-safety-guidelines-for-cement-and-lime-manufacturing2853709
97,http://footprinted.org/rdfspace/bibliography/epoxy-resin-lci-data-summary6978640
98,http://footprinted.org/rdfspace/bibliography/epoxy-resin-lci-data-summary-in-excel-format2458787
99,http://footprinted.org/rdfspace/bibliography/estimate-of-energy-consumption-and-co2-emission-associated-with-the-production-use-and-final-disposal-of-sheets-made-of-pvc-p-mdpe-and-bituminous6498194
100,http://footprinted.org/rdfspace/bibliography/estimating-the-embodied-energy-of-timber-building-products4829291
101,http://footprinted.org/rdfspace/bibliography/eu-ets-phase-ii-benchmarks-supporting-documentation-ceramics5773009
102,http://footprinted.org/rdfspace/bibliography/european-database-for-corrugated-board-life-cycle-studies3413364
