Waste,133,http://dbpedia.org/class/yago/Kilogram113724582
Energy Use,9430,MJ
Water use,8480,http://dbpedia.org/class/yago/Liter113624190
Carbon Dioxide Emissions,595,http://dbpedia.org/class/yago/Kilogram113724582
